id	class	name_en	name_de	long_name_en	long_name_de	lat	lon	location	description_en	description_de	founded	url	logo	wp_entity_tag_id_en	wp_entity_tag_id_de	links	notes
ISA	InternationalForum	ISA	ISA	International Seabed Authority	Internationale Meeresbodenbehörde	17.96477	-76.79171	Secretariat in Kingston, Jamaica	In 2021, OceanCare was accredited as an observer organisation by the International Seabed Authority (ISA). The ISA manages the mineral resources of the seabed as the heritage of mankind and is the main point of contact for matters relating to deep-sea mining.	2021 wurde OceanCare von der Internationalen Meeresbodenbehörde (ISA) als Beobachterorganisation akkreditiert. Die ISA verwaltet die Bodenschätze als Erbe der Menschheit und ist die wichtigste Anlaufstelle bezüglich Tiefseebergbau.						AdvocacyWork, AnimalAndSpeciesConservation, ClimateProtection, DSCC, DeepSeaMining, OceanConservation, OceanNoisePollution	
IWC	InternationalForum	IWC	IWC	International Whaling Commission	Internationale Walfangkommission	52.24864	0.10693	Secretariat in Cambridge, UK	OceanCare has been advocating for the protection of whales at the meetings of the International Whaling Commission (IWC) since 1992. The organisation engaged in improving transparency and NGO participation at IWC and adresses environmental threats to whales. As an observer, OceanCare supports the IWC small cetacean and bycatch working groups and the strandings response network.	Seit 1992 setzt sich OceanCare an den Tagungen der Internationalen Walfangkommission (IWC) für den Schutz der Wale ein. Die Organisation engagierte sich für mehr Transparenz innerhalb der IWC sowie für die Beteiligung von NGOs und adressiert Umweltgefahren, denen die Wale ausgesetzt sind. Als Beobachterorganisation unterstützt OceanCare die IWC-Arbeitsgruppen für Kleinwale und zur Verhinderung von Beifang sowie das Strandungsnetzwerk.	1992					AdvocacyWork, AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, Hunting, Iceland, Japan, Norway, ScientificResearch, Whales	
LondonConvention	InternationalForum	LC/LP	LC/LP	London Convention & Protocol	Londoner Übereinkommen und Londoner Protokoll	51.49075	-0.12457	Secretariat at IMO, London, UK	The London Convention and its 1996 Protocol regulate the dumping of wastes and other matter at sea. The Protocol, which entered into force in 2006, modernised and strengthened the original Convention. OceanCare was admitted as an observer to the London Convention and London Protocol meetings in 2024	Das Londoner Übereinkommen und das dazugehörige Protokoll von 1996 regeln die Einbringung von Abfällen und anderen Stoffen ins Meer. Das 2006 in Kraft getretene Protokoll modernisierte und stärkte das ursprüngliche Übereinkommen. OceanCare wurde 2024 als Beobachterorganisation zu den Treffen des Londoner Übereinkommens und des Londoner Protokolls zugelassen.						Geoengineering	
UNCLOS	InternationalForum	UNCLOS	UNCLOS	United Nations Convention on the Law of the Sea	UN-Seerechtsabkommens	40.74944	-73.96806	UN Headquarter, NY	OceanCare has been participating in the Informal Consultative Process (ICP) meetings of the United Nations Convention on the Law of the Sea (UNCLOS) since 2004, raising awareness of the multiple threats to the ocean and emerging challenges in marine conservation.	OceanCare nimmt seit 2004 am informellen Konsultationsprozess der Vereinten Nationen über das Seerecht (United Nations Convention on the Law of the Sea, UNCLOS) teil und sensibilisiert für multiple Gefahren für die Meere und für sich anbahnende Herausforderungen im Meeresschutz.							
UNECOSOC	InternationalForum	UN ECOSOC	UN ECOSOC	United Nations Economic and Social Council	Wirtschafts- und Sozialrat der Vereinten Nationen	40.74944	-73.96806	UN Headquarter, NY	Since 2011, the United Nations Economic and Social Council (ECOSOC) has granted OceanCare Special Consultative Status on marine issues. This status gives OceanCare the opportunity to participate in UN processes and to speak in UN bodies on key aspects on oceans and the law of the sea.	Seit 2011 anerkennt der Wirtschafts- und Sozialrat der Vereinten Nationen (ECOSOC) OceanCare als Organisation mit Sonderberaterstatus für Meeresfragen. Der Status eröffnet die Möglichkeit, an UN-Prozessen teilzunehmen und in UN-Gremien zu wichtigen Aspekten des Seerechts zu sprechen.	2011					OceanCare	New. Carries the UN Special Consultative Status note that used to sit on a generic 'United Nations' pin, now removed.
UNEPGPML	InternationalForum	UNEP/GPML	UNEP/GPML	UN Environment Programme’s Global Partnership on Marine Litter	Globale Partnerschaft für Meeresmüll des UN-Umweltprogramms	-1.23210	36.81690	UNEP Campus, Nairobi, Kenya	OceanCare has been part of the UN Environment Programme’s Global Partnership on Marine Litter (GPML) since 2014. This global network of government bodies, NGOs, scientific experts, representatives of the private sector and civil society develops solutions to reduce marine plastic pollution.	OceanCare ist seit 2014 Teil der Global Partnership on Marine Litter (GPML) des UN-Umwelt­programms. Dieses weltweite Netzwerk aus Regierungsstellen, NGOs, wissenschaftlichen Experten, Vertreter­innen der Privatwirtschaft und Repräsentanten der Zivilbevölkerung erarbeitet Lösungen zur Reduktion der Plastikverschmutzung im Meer.						PlasticPollution	
UNEPMAP	InternationalForum	UNEP/MAP	UNEP/MAP	Mediterranean Action Plan/Barcelona Convention	Mittelmeer-Aktionsplan/Barcelona-Konvention	37.97241	23.74471	Secretariat in Athens, Greece	In 2019, OceanCare became a partner organisation of the UNEP Mediterranean Action Plan, a framework agreement that addresses marine environmental threats and coordinates the Barcelona Convention as the legal basis for protecting the Mediterranean Sea from pollution.	2019 wurde OceanCare Partnerorganisation des UNEP Mediterranean Action Plan, einer Rahmenvereinbarung, die marine Umweltgefahren adressiert und die Barcelona-Konvention als rechtliche Basis für den Schutz des Mittelmeers vor Verschmutzung koordiniert.						ChemicalPollution	
UNEPUNEA	InternationalForum	UNEP/UNEA	UNEP/UNEA	United Nations Environment Programme/United Nations Environment Assembly	Verwaltungsgremium des UN-Umweltprogramms	-1.23210	36.81690	UNEP Campus, Nairobi, Kenya	In 2015, OceanCare was accredited to the United Nations Environment Programme (UNEP) and its governing body, the United Nations Environment Assembly (UNEA). The UN Environment Programme plays a leading role in global environmental protection. It is the only UN body dedicated exclusively to the environment. With its consistently scientific approach, OceanCare is an important voice within the UNEP Scientific and Technological Community Major Group.	2015 wurde OceanCare für das UN-Umweltprogramm (United Nations Environment Programme, UNEP) und dessen Verwaltungsgremium (United Nations Environment Assembly, UNEA) akkreditiert. Das UN-Umweltprogramm spielt im globalen Umweltschutz eine führende Rolle. Es ist die einzige Einrichtung der Vereinten Nationen, die sich ausschliesslich mit der Umwelt befasst. Mit ihrem konsequent wissenschaftlichen Ansatz ist OceanCare eine wichtige Stimme innerhalb der UNEP Scientific and Technological Community Major Group.	2015					ChemicalPollution, PlasticPollution	
UNFCCC	InternationalForum	UNFCCC	UNFCCC	UN Framework Convention on Climate Change	Klimarahmenkonvention der Vereinten Nationen	50.71938	7.12599	UN Campus, Bonn, Germany	In 2023, OceanCare was accredited by the UN Framework Convention on Climate Change (UNFCCC). The UNFCCC is an international environmental agreement aimed at halting the climate crisis caused by human activities, slowing down global warming and mitigating its consequences.	2023 wurde OceanCare bei der Klimarahmenkonvention der Vereinten Nationen akkreditiert. UNFCCC ist ein internationales Umweltabkommen mit dem Ziel, die von Menschen verursachte Klimakrise zu stoppen, die globale Erwärmung zu verlangsamen und deren Folgen zu mildern.						AdvocacyWork, ClimateProtection, OceanConservation	
UNOC	InternationalForum	UNOC	UNOC	UN Ocean Conference	UN-Ozeankonferenz	40.74944	-73.96806	UN Headquarter, NY	"The UN Ocean Conference is a triennial conference held by the United Nations to support the implementation of Sustainable Development Goal 14 ""Life Below Water"" as part of the 2030 Agenda. OceanCare has attended UNOC since 2017."	"Die UN-Ozeankonferenz (UN Ocean Conference, UNOC) wird von den Vereinten Nationen alle drei Jahre ausgerichtet, um die Umsetzung des Nachhaltigkeitsziels 14 (Sustainable Development Goal 14) ""Leben unter Wasser"" als Teil der Agenda 2030 zu unterstützen. OceanCare nimmt seit 2017 an der UNOC teil."						AdvocacyWork, BecauseOurPlanetIsBlue, OceanConservation	New.
BFFP	Network	Break Free From Plastic	Break Free From Plastic			14.64878	121.04343	Manila, Philippines	In 2016, OceanCare joined this coalition of international organisations committed to reducing plastic pollution and driving systemic change by tackling plastic pollution across the entire value chain. Since 2019, OceanCare has been a core member of BFFP and contributes to both global efforts and its European policy strategy.	2016 wurde OceanCare Teil dieser Koalition aus inter­nationalen Organisationen, die sich für die Reduktion der Plastikverschmutzung und für einen systemischen Wandel einsetzen, indem sie die Plastikverschmutzung über die gesamte Wertschöpfungskette hinweg angehen. Seit 2019 ist OceanCare Kernmitglied von BFFP und arbeitet auf globaler Ebene sowie bei der europäischen Policy-Strategie mit.	2016					OceanConservation, PlasticPollution	
DSCC	Network	Deep Sea Conservation Coalition	Deep Sea Conservation Coalition			52.37309	4.89220	Amsterdam, Netherlands	OceanCare joined the coalition in 2021 as part of its programme to prevent deep-sea mining, with a particular focus on underwater noise. DSCC is committed to protecting sensitive deep-sea ecosystems and preserving biodiversity in the high seas. The Coalition and its members campaign for a global moratorium on deep-sea mining to prevent irreversible ocean damage.	OceanCare trat der Koalition 2021 im Rahmen ihres Programms zur Verhinderung des Tiefseebergbaus bei, mit inhaltlichem Schwerpunkt auf Unterwasserlärm. DSCC engagiert sich für den Schutz der empfindlichen Tiefsee-Ökosysteme und für den Erhalt der biologischen Vielfalt auf hoher See. Die Koalition und ihre Mitglieder setzen sich für ein weltweites Moratorium für den Tiefseebergbau ein, um irreversible Schäden in den Ozeanen zu verhindern.	2021					DeepSeaMining, ISA, OceanConservation, OceanNoisePollution	
FossilFreeOceanInitiative	Network	Fossil-Free Ocean Initiative	Fossil-Free Ocean Initiative			47.229	8.676	Wädenswil, Switzerland	OceanCare has been part of this initiative since 2025, which campaigns to end offshore oil and gas exploration and exploitation.	OceanCare ist seit 2025 Teil dieser Initiative, die sich dafür einsetzt, die Suche und Förderung von Öl und Gas im Meer zu beenden.						ClimateProtection, FossilFuels, OceanConservation, OceanNoisePollution	Sheet said 'Kein Hauptsitz angegeben - deshalb wohl nicht auf Weltkarte abbildbar', but it is on the map today. Coordinates kept from the old ontology -- confirm or drop the pin.
FossilFuelNonProliferationTreaty	Network	Fossil Fuel Treaty Initiative	Fossil Fuel Treaty Initiative			46.2044	6.1432	Geneva, Switzerland	OceanCare joined this initiative in 2025, in which more than 4,000 international organisations are calling for a non-proliferation treaty on fossil fuel.	OceanCare trat dieser Initiative 2025 bei, in der mehr als 4 000 internationale Organisationen einen Nichtverbreitungsvertrag für fossile Brennstoffe fordern.						ClimateProtection, FossilFuels, OceanConservation, OceanNoisePollution	Sheet asked which name is right; the German column's answer, 'Fossil Fuel Treaty Initiative', was used. Same coordinates question as FossilFreeOceanInitiative.
GGGI	Network	Global Ghost Gear Initiative	Global Ghost Gear Initiative			38.90683	-77.04364	Washington DC, USA	In 2019, OceanCare joined the GGGI, which campaigns for lost fishing gear to be recovered and for nets to be marked so that they can be traced back to their owners.	2019 wurde OceanCare Mitglied der GGGI, die sich dafür einsetzt, dass verloren gegangenes Fischereigerät geborgen und Netze gekennzeichnet werden, damit diese den Besitzenden zugeordnet werden können.	2019					Fish, Fisheries, OceanConservation, PlasticPollution	
HSA	Network	High Seas Alliance	High Seas Alliance			52.36563	4.90791	Amsterdam, Netherlands	Since 2011, OceanCare has been part of the High Seas Alliance, whose more than 70 members advocate for the ecologically sound conservation and management of marine areas beyond national jurisdiction.	Seit 2011 ist OceanCare Teil der Allianz zum Schutz der Hochsee, deren mehr als 70 Mitglieder sich für den Schutz und einen ökologischen Umgang mit Meeresgebieten ausserhalb nationaler Gesetzgebungen einsetzen.	2011					OceanConservation, OceanNoisePollution, PlasticPollution	
STRA	Network	Sea Turtle Rescue Alliance	Sea Turtle Rescue Alliance			51.45328	-2.60019	Registered in Bristol, UK	In 2021, OceanCare launched the alliance for the rescue and care of injured sea turtles. Led by Dr Claire Petros, the alliance brings together rescue centres from around the world, which share medical expertise and data with one another.	OceanCare hat 2021 die Allianz zur Rettung und Pflege von verletzten Meeresschildkröten ins Leben gerufen. Unter der Leitung von Dr. Claire Petros kooperieren darin weltweit Rettungszentren, die untereinander medizinisches Fachwissen und Daten austauschen.	2021					AnimalAndSpeciesConservation, RescueActivities, SeaTurtles	
SeasAtRisk	Network	Seas at Risk	Seas at Risk			50.85487	4.36883	Brussels, Belgium	Since 2014, OceanCare has been a member of this alliance of 40 organisations, which advocates effective marine policy in European waters with the aim of improving the protection of marine animals and the living conditions in the oceans.	Seit 2014 ist OceanCare Mitglied dieser Allianz aus 40 Organisationen, die sich für eine griffige Meerespolitik in europäischen Gewässern einsetzt, um den Schutz der Meerestiere und die Lebensbedingungen in den Ozeanen zu verbessern.						BBNJ, OceanConservation	
SpeciesSurvivalNetwork	Network	Species Survival Network	Species Survival Network			38.90536	-77.05044	Washington DC, USA	OceanCare has been a member of SSN since 1997 and is committed to ensuring that endangered animal and plant species are listed and protected under the CITES Appendices I-III. OceanCare is part of the SSN working groups on the protection of polar bears, whales and dolphins, as well as sharks, rays and other fish species.	Seit 1997 ist OceanCare Mitglied von SSN und engagiert sich dafür, dass gefährdete Tier- und Pflanzenarten durch das Artenschutzabkommen CITES geschützt werden. OceanCare ist Teil der SSN-Arbeitsgruppen zum Schutz der Eisbären, der Wale und Delfine sowie der Haie, Rochen und weiterer Fischarten.						AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, Fish, Manatees, PolarBears, SeaTurtles, Seals, Sharks, Whales	
AlnitakResearchInstitute	PartnerOrganization	Alnitak Research Institute	Alnitak Research Institute			39.76636	2.71522	Sóller, Mallorca, Spain	Alnitak works to tackle the harmful impacts of abandoned, lost and discarded fishing gear in the Mediterranean Sea, with support from OceanCare since 2021. This gear is estimated to account for 46–70% of  marine microplastic litter and can continue trapping and killing marine wildlife long after it has been lost, with sea turtles particularly at risk.	Alnitak setzt sich dafür ein, die schädlichen Auswirkungen von aufgegebenen, verlorenen und entsorgten Fanggeräten im Mittelmeer zu reduzieren, und wird dabei seit 2021 von OceanCare unterstützt. Schätzungen zufolge machen solche Fanggeräte 46–70 % des marinen Mikroplastikmülls aus und können noch lange nach ihrem Verlust Meerestiere fangen und töten, wobei insbesondere Meeresschildkröten gefährdet sind.	2015					AnimalAndSpeciesConservation, CommunityInvolvement, Fish, Fisheries, PlasticPollution, RescueActivities, ResearchExpeditions, ScientificResearch, SeaTurtles, Spain, WesternMediterraneanSea	
BEES	PartnerOrganization	BEES	BEES	Benin Environment and Education Society		6.49650	2.60360	Porto Novo, Benin	Declining fish species and harmful fishing practices threaten marine ecosystems and coastal livelihoods, while scarcity is driving the hunting of protected species such as dolphins, manatees, sharks, and rays for aquatic wild meat. OceanCare has been working with Benin Environment and Education Society (BEES) to promote sustainable solutions in the Gulf of Guinea since 2018.	Rückläufige Fischbestände und zerstörerische Fischereipraktiken bedrohen Meeresökosysteme und die Lebensgrundlagen der Küstengemeinschaften. Gleichzeitig führt die zunehmende Knappheit dazu, dass geschützte Arten wie Delfine, Seekühe, Haie und Rochen als sogenanntes Aquatic Wild Meat gejagt werden. Gemeinsam mit der Benin Environment and Education Society (BEES) setzt sich OceanCare im Golf von Guinea seit 2018 für nachhaltige Lösungen ein.	2019					AbidjanConvention, AnimalAndSpeciesConservation, AquaticWildMeat, Benin, CMSBonnConvention, DolphinsAndSmallCetaceans, Hunting, Manatees, ScientificResearch, SeaTurtles, Sharks	
BritishDiversMarineLifeRescue	PartnerOrganization	BDMLR	BDMLR	British Divers Marine Life Rescue		50.20263	-5.20263	Cornwall, UK	British Divers Marine Life Rescue (BDMLR) rescues and treats marine animals in distress, including disentangling whales and dolphins, assisting stranded animals, and rehabilitating injured seals. OceanCare has supported the organisation since 2019, including the construction of a seal hospital in Cornwall.	British Divers Marine Life Rescue (BDMLR) rettet und versorgt Meerestiere in Not. Dazu gehören die Befreiung von Walen und Delfinen aus Verstrickungen, die Hilfe für gestrandete Meerestiere sowie die Rehabilitation verletzter Robben. OceanCare unterstützt die Arbeit der Organisation seit 2019 und förderte u. a. den Bau einer Robbenklinik in Cornwall.	2012					AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, RescueActivities, ScientificResearch, Seals, UnitedKingdom, Whales	
CBDHabitat	PartnerOrganization	CBD-Hábitat	CBD-Hábitat			20.83690	-17.06360	Fundación CBD-Habitat – Cabo Blanco Field Station, near Nouadhibou, Mauretania	Since 2005, OceanCare has been supporting the organisation CBD-Hábitat in protecting the last large colony of endangered Mediterranean monk seals at Cabo Blanco in Mauritania, home to around half of the global population. The ‘Costa de las Focas’ Reserve has been monitored year-round and around the clock for 25 years.	Seit 2005 unterstützt OceanCare die Organisation CBD-Hábitat beim Schutz der letzten grossen Kolonie der gefährdeten Mittelmeer-Mönchsrobbe am Cabo Blanco in Mauretanien, wo etwa die Hälfte des weltweiten Bestands lebt. Das Schutzgebiet «Costa de las Focas» wird seit 25 Jahren ganzjährig und rund um die Uhr überwacht.	2005					AnimalAndSpeciesConservation, Mauritania, RescueActivities, Seals, Spain	
CIT	PartnerOrganization	CIT	CIT	Centro para la Investigación de Tiburones		10.48059	-66.90361	Caracas, Venezuela	CIT has made significant progress in Venezuela since 2017: whale shark fishing has effectively ceased and the trade in shark fins has been significantly reduced. In addition, three areas have been designated as Important Shark and Ray Areas (ISRAs). OceanCare has been collaborating with CIT since 2017.	CIT konnte in Venezuela seit 2017 grosse Fortschritte erzielen: Die Walhai-Fischerei ist faktisch zum Erliegen gekommen und der Handel mit Haiflossen wurde stark reduziert. Zudem wurden drei Gebiete als Important Shark and Ray Areas (ISRAs) ausgewiesen. OceanCare unterstützt CIT seit 2017.	2017					AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, Fisheries, Manatees, RescueActivities, Sharks, Venezuela	
DolphinBiologyAndConservation	PartnerOrganization	Dolphin Biology and Conservation	Dolphin Biology and Conservation			45.98233	12.70265	Cordenons, PN, Italy	Dolphin Biology and Conservation, is committed to preserving marine biodiversity and reducing human impacts on cetaceans in various Mediterranean areas. DBC produces  publications and disseminates science-based information with a focus on factors threatening dolphins and marine life. DBC studies and monitors dolphin populations to assess abundance, detect trends and identify important habitat. OceanCare supports and closely collaborates with DBC since 2007.	Dolphin Biology and Conservation setzt sich für den Erhalt der marinen Biodiversität und die Verringerung menschlicher Einflüsse auf Wale und Delfine in verschiedenen Gebieten des Mittelmeers ein. DBC erforscht Delfinpopulationen, erstellt wissenschaftliche Publikationen und verbreitet fundierte, wissenschaftsbasierte Informationen mit besonderem Fokus auf die Faktoren, die Delfine und andere Meereslebewesen bedrohen. OceanCare unterstützt DBC seit 2007 und arbeitet eng mit der Organisation zusammen.	2018					AnimalAndSpeciesConservation, DolphinsAndSmallCetaceans, Fisheries, Italy, ScientificResearch	
FORTH	PartnerOrganization	FORTH	FORTH	The Foundation for Research and Technology – Hellas		35.32500	25.13060	Heraklion, Crete, Greece	OceanCare plays a pivotal role in the development of SAvE Whales in collaboration with the Pelagos Cetacean Research Institute and the Foundation for Research and Technology - Hellas  (FORTH). SAvE Whales is the world’s first integrated system that can localise sperm whales and inform ship captains of their presence in real time.	OceanCare spielt eine Schlüsselrolle bei der Entwicklung von SAvE Whales in Zusammenarbeit mit dem Pelagos Cetacean Research Institute und der Foundation for Research and Technology - Hellas (FORTH). SAvE Whales ist das weltweit erste Warnsystem, das Pottwale lokalisieren und Schiffskapitän:innen in Echtzeit über die Anwesenheit der Tiere informieren kann.						SAVEWhales, Shipping, Whales	New partner. Its 'Collisions' tag was read as the Shipping topic -- confirm.
